32	1.69
33	1.28
63	3
64	2.86
65	2.64
95	3.55
96	3.41
97	3.29
127	3.86
128	3.63
129	3.63
159	4.03
160	3.89
161	3.85
191	4.14
192	3.98
193	3.99
223	4.22
224	4.09
225	4.09
255	4.28
256	4.05
257	4.16
287	4.31
288	4.2
289	4.21
319	4.32
320	4.21
321	4.22
351	4.32
352	4.22
353	4.23
383	4.29
384	4.2
385	4.21
415	4.27
416	4.29
417	4.02
447	4.09
448	4.03
449	4.03
479	4.09
480	4.04
481	4.03
511	4.12
512	3.88
513	4.05
543	4.13
544	4.09
545	4.09
575	4.16
576	4.12
577	4.08
607	4.18
608	4.14
609	4.13
639	4.19
640	4.15
641	4.15
671	4.21
672	4.19
673	4.17
703	4.23
704	4.2
705	4.18
735	4.24
736	4.22
737	4.2
767	4.25
768	4.16
769	4.22
799	4.26
800	4.23
801	4.23
831	4.28
832	4.29
833	4.15
863	4.19
864	4.18
865	4.16
895	4.21
896	4.17
897	4.18
927	4.22
928	4.2
929	4.2
959	4.24
960	4.22
961	4.21
991	4.25
992	4.24
993	4.21
1023	4.27
1024	3.76
1025	4.24
